%time,field.header.seq,field.header.stamp,field.header.frame_id,field.positioning_dim,field.latitude,field.longitude,field.height,field.latitude_error,field.longitude_error,field.height_error,field.gps_connection_status,field.antena_status_open,field.antena_status_short
1634523485244587511,7026,1634523485244469927,gps_m2/gps,3,35.0414159,137.1779312,63.59400177,0.570065379143,0.530059456825,1.2688549757,2,1,1
1634523486244489797,7027,1634523486244377460,gps_m2/gps,3,35.0415002,137.1782064,64.0589981079,0.570635020733,0.529592871666,1.26821577549,2,1,1
1634523487244360370,7028,1634523487244279614,gps_m2/gps,3,35.041584,137.1784817,64.5459976196,0.571160793304,0.528959274292,1.2669005394,2,1,1
1634523488245119432,7029,1634523488245011958,gps_m2/gps,3,35.0416668,137.1787577,65.0739974976,0.570971786976,0.527998268604,1.26506638527,2,1,1
1634523489245540437,7030,1634523489245079560,gps_m2/gps,3,35.0417483,137.1790345,65.5199966431,0.570641458035,0.526995718479,1.26397359371,2,1,1
1634523490244574947,7031,1634523490244432194,gps_m2/gps,3,35.0418297,137.1793109,65.9869995117,0.570399701595,0.526038587093,1.26322054863,2,1,1
1634523491244501109,7032,1634523491244347745,gps_m2/gps,3,35.0419108,137.1795875,66.4929962158,0.570360779762,0.5251506567,1.2625566721,2,1,1
1634523492244461308,7033,1634523492244365678,gps_m2/gps,3,35.041992,137.1798644,67.0029983521,0.570289552212,0.524317145348,1.26226866245,2,1,1
1634523493254921779,7034,1634523493254763788,gps_m2/gps,3,35.0420724,137.1801418,67.5240020752,0.570519208908,0.523672699928,1.26295208931,2,1,1
1634523494246336116,7035,1634523494246217544,gps_m2/gps,3,35.0421529,137.1804195,68.0230026245,0.570980250835,0.523174405098,1.26417660713,2,1,1
1634523495244569759,7036,1634523495244466653,gps_m2/gps,3,35.0422346,137.1806971,68.5579986572,0.571161031723,0.522586047649,1.26443243027,2,1,1
1634523496244571509,7037,1634523496244463351,gps_m2/gps,3,35.0423165,137.1809746,69.0329971313,0.570541083813,0.521644711494,1.26250565052,2,1,1
1634523497244405064,7038,1634523497244317211,gps_m2/gps,3,35.042398,137.1812523,69.5680007935,0.569819867611,0.521633386612,1.26280546188,2,1,1
1634523498246888969,7039,1634523498246789701,gps_m2/gps,3,35.0424778,137.1815308,70.1230010986,0.56857085228,0.521267235279,1.26223230362,2,1,1
1634523499244507197,7040,1634523499244408146,gps_m2/gps,3,35.0425553,137.1818099,70.6829986572,0.567661225796,0.520588219166,1.26100802422,2,1,1
1634523500244585703,7041,1634523500244472297,gps_m2/gps,3,35.0426312,137.1820893,71.2320022583,0.567724943161,0.520167887211,1.25959348679,2,1,1
1634523501244621237,7042,1634523501244519339,gps_m2/gps,3,35.0427059,137.1823693,71.702003479,0.568016290665,0.5200496912,1.26034843922,2,1,1
1634523502244471192,7043,1634523502244371798,gps_m2/gps,3,35.0427791,137.18265,72.1839981079,0.568165540695,0.520044386387,1.26090323925,2,1,1
1634523503244644339,7044,1634523503244453239,gps_m2/gps,3,35.0428506,137.1829315,72.6679992676,0.56873100996,0.520078837872,1.2617650032,2,1,1
1634523504246845456,7045,1634523504246587635,gps_m2/gps,3,35.0429211,137.1832135,73.1380004883,0.569655895233,0.519909143448,1.26197445393,2,1,1
